stage_ft,Q_cfs,site_no,type
5.14,168896.73,07374000,model
5.15,169142.92,07374000,model
5.16,169389.17,07374000,model
5.17,169635.47,07374000,model
5.18,169881.83,07374000,model
5.19,170128.24,07374000,model
5.2,170374.71,07374000,model
5.21,170621.24,07374000,model
5.22,170867.82,07374000,model
5.23,171114.46,07374000,model
5.24,171361.15,07374000,model
5.25,171607.9,07374000,model
5.26,171854.71,07374000,model
5.27,172101.57,07374000,model
5.28,172348.48,07374000,model
5.29,172595.46,07374000,model
5.3,172842.48,07374000,model
5.31,173089.57,07374000,model
5.32,173336.71,07374000,model
5.33,173583.9,07374000,model
5.34,173831.15,07374000,model
5.35,174078.45,07374000,model
5.36,174325.81,07374000,model
5.37,174573.23,07374000,model
5.38,174820.7,07374000,model
5.39,175068.22,07374000,model
5.4,175315.8,07374000,model
5.41,175563.44,07374000,model
5.42,175811.13,07374000,model
5.43,176058.87,07374000,model
5.44,176306.67,07374000,model
5.45,176554.53,07374000,model
5.46,176802.44,07374000,model
5.47,177050.4,07374000,model
5.48,177298.42,07374000,model
5.49,177546.49,07374000,model
5.5,177794.62,07374000,model
5.51,178042.8,07374000,model
5.52,178291.03,07374000,model
5.53,178539.32,07374000,model
5.54,178787.67,07374000,model
5.55,179036.07,07374000,model
5.56,179284.52,07374000,model
5.57,179533.03,07374000,model
5.58,179781.59,07374000,model
5.59,180030.2,07374000,model
5.6,180278.87,07374000,model
5.61,180527.59,07374000,model
5.62,180776.37,07374000,model
5.63,181025.2,07374000,model
5.64,181274.09,07374000,model
5.65,181523.02,07374000,model
5.66,181772.02,07374000,model
5.67,182021.06,07374000,model
5.68,182270.16,07374000,model
5.69,182519.31,07374000,model
5.7,182768.52,07374000,model
5.71,183017.78,07374000,model
5.72,183267.09,07374000,model
5.73,183516.45,07374000,model
5.74,183765.87,07374000,model
5.75,184015.34,07374000,model
5.76,184264.87,07374000,model
5.77,184514.45,07374000,model
5.78,184764.08,07374000,model
5.79,185013.76,07374000,model
5.8,185263.5,07374000,model
5.81,185513.29,07374000,model
5.82,185763.13,07374000,model
5.83,186013.03,07374000,model
5.84,186262.98,07374000,model
5.85,186512.98,07374000,model
5.86,186763.03,07374000,model
5.87,187013.14,07374000,model
5.88,187263.3,07374000,model
5.89,187513.51,07374000,model
5.9,187763.77,07374000,model
5.91,188014.09,07374000,model
5.92,188264.46,07374000,model
5.93,188514.88,07374000,model
5.94,188765.35,07374000,model
5.95,189015.88,07374000,model
5.96,189266.46,07374000,model
5.97,189517.09,07374000,model
5.98,189767.77,07374000,model
5.99,190018.5,07374000,model
6,190269.29,07374000,model
6.01,190520.13,07374000,model
6.02,190771.02,07374000,model
6.03,191021.96,07374000,model
6.04,191272.95,07374000,model
6.05,191524,07374000,model
6.06,191775.09,07374000,model
6.07,192026.24,07374000,model
6.08,192277.44,07374000,model
6.09,192528.69,07374000,model
